с,В
0.0006,0.0051
0.0113,0.0152
0.0221,0.0000
0.0328,0.0102
0.0435,0.0000
0.0541,0.0051
0.0648,0.0000
0.0757,0.0000
0.0865,0.0102
0.0972,0.0000
0.1079,0.0102
0.1186,0.0000
0.1293,0.0102
0.1401,0.0000
0.1508,0.0102
0.1615,0.0000
0.1722,0.0152
0.1829,0.0000
0.1935,0.0102
0.2044,0.0000
0.2151,0.0051
0.2258,0.0102
0.2364,0.0000
0.2470,0.0051
0.2577,0.0000
0.2683,0.0102
0.2789,0.0000
0.2895,0.0102
0.3001,0.0000
0.3107,0.0102
0.3213,0.0000
0.3319,0.0102
0.3425,0.0000
0.3534,0.0102
0.3640,0.0000
0.3746,0.0102
0.3852,0.0051
0.3958,0.0051
0.4064,0.0000
0.4170,0.0051
0.4276,0.0051
0.4382,0.0000
0.4488,0.0102
0.4594,0.0000
0.4700,0.0102
0.4806,0.0000
0.4912,0.0102
0.5018,0.0000
0.5124,0.0102
0.5230,0.0000
0.5336,0.0102
0.5442,0.0000
0.5548,0.0102
0.5654,0.0000
0.5760,0.0051
0.5866,0.0051
0.5972,0.0000
0.6078,0.0102
0.6185,0.0000
0.6291,0.0152
0.6397,0.0000
0.6504,0.0102
0.6610,0.0000
0.6716,0.0102
0.6822,0.0000
0.6928,0.0102
0.7035,0.0000
0.7141,0.0051
0.7247,0.0000
0.7355,0.0051
0.7462,0.0051
0.7568,0.0051
0.7675,0.0051
0.7781,0.0000
0.7888,0.0102
0.7994,0.0000
0.8100,0.0102
0.8207,0.0000
0.8313,0.0102
0.8420,0.0000
0.8528,0.0102
0.8634,0.0000
0.8741,0.0102
0.8848,0.0000
0.8954,0.0051
0.9061,0.0051
0.9168,0.0051
0.9275,0.0102
0.9395,0.0000
0.9502,0.0102
0.9609,0.0000
0.9715,0.0102
0.9821,0.0000
0.9927,0.0102
1.0033,0.0000
1.0140,0.0102
1.0246,0.0000
1.0352,0.0102
1.0458,0.0051
1.0565,0.0000
1.0671,0.0102
1.0777,0.0051
1.0883,0.0102
1.0990,0.0000
1.1097,0.0102
1.1203,0.0000
1.1309,0.0102
1.1415,0.0000
1.1522,0.0102
1.1628,0.0000
1.1734,0.0152
1.1840,0.0000
1.1947,0.0102
1.2053,0.0000
1.2159,0.0000
1.2266,0.0102
1.2372,0.0051
1.2478,0.0051
1.2585,0.0000
1.2691,0.0152
1.2797,0.0000
1.2903,0.0102
1.3010,0.0000
1.3116,0.0102
1.3222,0.0000
1.3329,0.0051
1.3435,0.0000
1.3542,0.0152
1.3649,0.0000
1.3756,0.0000
1.3862,0.0000
1.3968,0.0051
1.4074,0.0102
1.4181,0.0000
1.4287,0.0102
1.4393,0.0000
1.4500,0.0102
1.4606,0.0000
1.4712,0.0152
1.4819,0.0000
1.4925,0.0102
1.5031,0.0000
1.5138,0.0152
1.5245,0.0000
1.5351,0.0102
1.5458,0.0000
1.5565,0.0051
1.5671,0.0051
1.5778,0.0000
1.5885,0.0102
1.5991,0.0000
1.6098,0.0102
1.6205,0.0000
1.6312,0.0152
1.6419,0.0000
1.6525,0.0152
1.6632,0.0000
1.6738,0.0102
1.6845,0.0000
1.6952,0.0102
1.7058,0.0000
1.7165,0.0051
1.7272,0.0051
1.7379,0.0000
1.7485,0.0051
1.7592,0.0000
1.7699,0.0102
1.7805,0.0000
1.7912,0.0102
1.8018,0.0000
1.8125,0.0102
1.8232,0.0000
1.8339,0.0152
1.8446,0.0000
1.8553,0.0051
1.8661,0.0051
1.8768,0.0051
1.8875,0.0051
1.8981,0.0000
1.9088,0.0051
1.9195,0.0000
1.9302,0.0051
1.9409,0.0000
1.9515,0.0102
1.9621,0.0000
1.9728,0.0102
1.9834,0.0000
1.9940,0.0102
2.0046,0.0000
2.0153,0.0051
2.0259,0.0000
2.0366,0.0051
2.0473,0.0102
2.0579,0.0051
2.0686,0.0051
2.0793,0.0000
2.0899,0.0102
2.1006,0.0000
2.1113,0.0102
2.1220,0.0000
2.1326,0.0102
2.1433,0.0000
2.1539,0.0102
2.1646,0.0000
2.1753,0.0102
2.1859,0.0051
2.1966,0.0051
2.2073,0.0051
2.2179,0.0000
2.2286,0.0102
2.2393,0.0000
2.2500,0.0051
2.2607,0.0000
2.2713,0.0102
2.2820,0.0000
2.2926,0.0152
2.3033,0.0000
2.3140,0.0152
2.3247,0.0000
2.3353,0.0051
2.3461,0.0051
2.3568,0.0051
2.3675,0.0051
2.3782,0.0000
2.3888,0.0051
2.3995,0.0000
2.4102,0.0051
2.4208,0.0000
2.4315,0.0102
2.4421,0.0000
2.4528,0.0102
2.4634,0.0000
2.4741,0.0102
2.4847,0.0000
2.4954,0.0051
2.5060,0.0000
2.5167,0.0051
2.5274,0.0102
2.5380,0.0000
2.5487,0.0051
2.5595,0.0000
2.5702,0.0102
2.5809,0.0000
2.5916,0.0152
2.6022,0.0000
2.6129,0.0102
2.6235,0.0000
2.6342,0.0102
2.6449,0.0000
2.6555,0.0102
2.6662,0.0051
2.6769,0.0051
2.6876,0.0051
2.6982,0.0000
2.7089,0.0102
2.7196,0.0000
2.7302,0.0152
2.7409,0.0000
2.7515,0.0102
2.7622,0.0000
2.7729,0.0102
2.7835,0.0000
2.7942,0.0051
2.8049,0.0000
2.8155,0.0152
2.8262,0.0000
2.8369,0.0000
