с,В
0.0006,0.0152
0.0114,0.0000
0.0222,0.0051
0.0330,0.0051
0.0438,0.0000
0.0546,0.0051
0.0654,0.0000
0.0761,0.0102
0.0868,0.0000
0.0976,0.0102
0.1083,0.0000
0.1190,0.0102
0.1298,0.0000
0.1406,0.0051
0.1513,0.0000
0.1620,0.0000
0.1727,0.0051
0.1835,0.0000
0.1943,0.0102
0.2051,0.0000
0.2158,0.0102
0.2265,0.0000
0.2372,0.0051
0.2478,0.0000
0.2586,0.0152
0.2694,0.0000
0.2802,0.0102
0.2910,0.0000
0.3017,0.0051
0.3125,0.0051
0.3232,0.0000
0.3338,0.0102
0.3446,0.0051
0.3553,0.0152
0.3659,0.0000
0.3765,0.0102
0.3871,0.0000
0.3977,0.0102
0.4083,0.0000
0.4189,0.0102
0.4295,0.0000
0.4401,0.0102
0.4507,0.0000
0.4613,0.0051
0.4719,0.0000
0.4825,0.0000
0.4931,0.0051
0.5037,0.0051
0.5143,0.0102
0.5249,0.0000
0.5355,0.0102
0.5461,0.0000
0.5567,0.0102
0.5673,0.0000
0.5779,0.0102
0.5885,0.0000
0.5991,0.0102
0.6098,0.0000
0.6205,0.0102
0.6311,0.0000
0.6417,0.0051
0.6523,0.0102
0.6629,0.0051
0.6735,0.0102
0.6841,0.0000
0.6947,0.0102
0.7053,0.0000
0.7159,0.0102
0.7265,0.0000
0.7371,0.0102
0.7477,0.0000
0.7583,0.0102
0.7689,0.0000
0.7795,0.0102
0.7901,0.0000
0.8006,0.0051
0.8112,0.0000
0.8219,0.0051
0.8326,0.0051
0.8432,0.0000
0.8538,0.0102
0.8644,0.0000
0.8751,0.0051
0.8857,0.0000
0.8963,0.0102
0.9071,0.0000
0.9177,0.0102
0.9283,0.0000
0.9390,0.0102
0.9496,0.0000
0.9603,0.0102
0.9709,0.0051
0.9816,0.0051
0.9922,0.0051
1.0029,0.0051
1.0136,0.0152
1.0244,0.0000
1.0351,0.0102
1.0458,0.0000
1.0565,0.0102
1.0672,0.0000
1.0779,0.0102
1.0885,0.0000
1.0993,0.0102
1.1100,0.0000
1.1208,0.0102
1.1315,0.0000
1.1423,0.0000
1.1530,0.0102
1.1637,0.0000
1.1743,0.0102
1.1850,0.0000
1.1956,0.0152
1.2062,0.0000
1.2168,0.0102
1.2274,0.0000
1.2380,0.0152
1.2485,0.0000
1.2591,0.0102
1.2697,0.0000
1.2803,0.0102
1.2909,0.0051
1.3015,0.0051
1.3121,0.0102
1.3227,0.0051
1.3333,0.0102
1.3439,0.0000
1.3545,0.0051
1.3651,0.0000
1.3757,0.0102
1.3863,0.0000
1.3969,0.0051
1.4075,0.0000
1.4181,0.0102
1.4288,0.0000
1.4394,0.0102
1.4500,0.0000
1.4606,0.0051
1.4712,0.0051
1.4818,0.0000
1.4924,0.0051
1.5030,0.0000
1.5136,0.0102
1.5242,0.0000
1.5348,0.0102
1.5454,0.0000
1.5560,0.0102
1.5666,0.0000
1.5772,0.0102
1.5878,0.0000
1.5984,0.0102
1.6091,0.0000
1.6197,0.0152
1.6303,0.0000
1.6410,0.0051
1.6515,0.0102
1.6621,0.0051
1.6727,0.0102
1.6833,0.0000
1.6939,0.0051
1.7045,0.0000
1.7151,0.0102
1.7257,0.0000
1.7363,0.0102
1.7469,0.0000
1.7575,0.0102
1.7681,0.0000
1.7787,0.0051
1.7893,0.0000
1.7999,0.0051
1.8105,0.0051
1.8211,0.0051
1.8317,0.0000
1.8423,0.0000
1.8529,0.0102
1.8635,0.0000
1.8742,0.0102
1.8849,0.0000
1.8956,0.0102
1.9063,0.0000
1.9169,0.0102
1.9276,0.0000
1.9383,0.0051
1.9489,0.0000
1.9596,0.0051
1.9703,0.0051
1.9809,0.0051
1.9916,0.0051
2.0022,0.0051
2.0129,0.0102
2.0237,0.0000
2.0344,0.0152
2.0451,0.0000
2.0558,0.0102
2.0666,0.0000
2.0772,0.0102
2.0879,0.0000
2.0985,0.0102
2.1092,0.0000
2.1200,0.0051
2.1307,0.0000
2.1415,0.0051
2.1522,0.0051
2.1628,0.0000
2.1736,0.0102
2.1843,0.0000
2.1950,0.0102
2.2057,0.0000
2.2164,0.0102
2.2271,0.0000
2.2378,0.0152
2.2484,0.0000
2.2590,0.0051
2.2697,0.0051
2.2803,0.0051
2.2909,0.0051
2.3016,0.0000
2.3122,0.0000
2.3228,0.0000
2.3335,0.0051
2.3441,0.0051
2.3548,0.0102
2.3654,0.0000
2.3761,0.0152
2.3867,0.0000
2.3974,0.0152
2.4081,0.0000
2.4187,0.0102
2.4294,0.0000
2.4400,0.0051
2.4507,0.0000
2.4613,0.0051
2.4720,0.0051
2.4827,0.0000
2.4934,0.0102
2.5041,0.0000
2.5147,0.0102
2.5254,0.0000
2.5360,0.0102
2.5467,0.0000
2.5574,0.0102
2.5681,0.0000
2.5787,0.0152
2.5894,0.0000
2.6001,0.0051
2.6109,0.0051
2.6216,0.0051
2.6325,0.0051
2.6433,0.0000
2.6540,0.0102
2.6647,0.0000
2.6753,0.0102
2.6860,0.0000
2.6966,0.0102
2.7072,0.0000
2.7179,0.0152
2.7285,0.0000
2.7391,0.0102
2.7497,0.0000
2.7604,0.0102
2.7710,0.0051
2.7816,0.0000
2.7923,0.0102
2.8029,0.0000
2.8136,0.0152
2.8243,0.0000
2.8349,0.0102
2.8456,0.0000
2.8563,0.0102
2.8669,0.0000
2.8776,0.0102
2.8883,0.0000
2.8989,0.0051
2.9097,0.0051
2.9203,0.0051
2.9310,0.0051
2.9417,0.0000
2.9524,0.0102
2.9630,0.0000
2.9737,0.0102
2.9844,0.0000
2.9950,0.0102
3.0057,0.0000
3.0163,0.0152
3.0270,0.0000
3.0376,0.0102
3.0483,0.0000
3.0590,0.0102
3.0696,0.0051
3.0803,0.0051
3.0909,0.0051
3.1017,0.0000
3.1125,0.0051
3.1233,0.0000
3.1341,0.0102
3.1448,0.0000
3.1555,0.0102
3.1662,0.0000
3.1768,0.0102
3.1875,0.0000
3.1981,0.0102
3.2088,0.0000
3.2195,0.0051
3.2302,0.0000
3.2409,0.0051
3.2515,0.0051
3.2622,0.0000
3.2728,0.0102
3.2835,0.0000
3.2941,0.0102
3.3048,0.0000
3.3155,0.0152
3.3261,0.0000
3.3368,0.0102
3.3475,0.0000
3.3581,0.0102
3.3688,0.0000
3.3794,0.0051
3.3901,0.0051
3.4008,0.0051
3.4115,0.0051
3.4221,0.0000
3.4328,0.0102
3.4434,0.0000
3.4541,0.0102
3.4648,0.0000
3.4754,0.0102
3.4861,0.0000
3.4968,0.0102
3.5074,0.0000
3.5181,0.0102
3.5288,0.0000
3.5395,0.0051
3.5501,0.0051
3.5608,0.0000
3.5714,0.0102
3.5821,0.0000
3.5928,0.0102
3.6035,0.0000
3.6143,0.0102
3.6251,0.0000
3.6358,0.0102
3.6464,0.0000
3.6571,0.0102
3.6677,0.0000
3.6783,0.0102
3.6890,0.0000
3.6996,0.0102
3.7102,0.0051
3.7209,0.0000
3.7316,0.0051
3.7422,0.0000
3.7529,0.0102
3.7635,0.0000
3.7742,0.0102
3.7849,0.0000
3.7955,0.0102
3.8061,0.0000
3.8168,0.0152
3.8275,0.0000
3.8383,0.0152
3.8490,0.0051
3.8597,0.0051
3.8704,0.0051
3.8810,0.0051
3.8917,0.0102
3.9024,0.0000
3.9130,0.0102
3.9237,0.0000
3.9344,0.0102
3.9450,0.0000
3.9557,0.0152
3.9663,0.0000
3.9770,0.0102
3.9876,0.0000
3.9982,0.0102
4.0089,0.0000
4.0195,0.0051
4.0302,0.0000
4.0409,0.0051
4.0516,0.0102
4.0623,0.0000
4.0729,0.0102
4.0836,0.0000
4.0943,0.0102
4.1050,0.0000
4.1157,0.0102
4.1265,0.0000
4.1373,0.0152
