с,В
0.0006,0.0152
0.0114,0.0102
0.0221,0.0000
0.0329,0.0051
0.0436,0.0000
0.0543,0.0051
0.0650,0.0051
0.0757,0.0051
0.0865,0.0102
0.0973,0.0000
0.1082,0.0102
0.1191,0.0000
0.1299,0.0102
0.1406,0.0000
0.1512,0.0051
0.1619,0.0000
0.1726,0.0051
0.1834,0.0051
0.1942,0.0051
0.2144,0.0051
0.2252,0.0051
0.2359,0.0000
0.2466,0.0051
0.2593,0.0000
0.2704,0.0152
0.2811,0.0000
0.2918,0.0102
0.3025,0.0000
0.3132,0.0152
0.3239,0.0051
0.3409,0.0051
0.3516,0.0051
0.3623,0.0000
0.3729,0.0102
0.3836,0.0000
0.3944,0.0000
0.4051,0.0102
0.4158,0.0051
0.4266,0.0051
0.4373,0.0000
0.4545,0.0102
0.4652,0.0051
0.4759,0.0000
0.4866,0.0102
0.5049,0.0000
0.5155,0.0000
0.5262,0.0102
0.5368,0.0000
0.5474,0.0102
0.5580,0.0000
0.5687,0.0102
0.5793,0.0000
0.5898,0.0102
0.6005,0.0000
0.6112,0.0152
0.6219,0.0000
0.6325,0.0102
0.6431,0.0000
0.6537,0.0102
0.6644,0.0000
0.6750,0.0051
0.6856,0.0102
0.6962,0.0051
0.7069,0.0102
0.7174,0.0000
0.7280,0.0102
0.7386,0.0000
0.7492,0.0102
0.7598,0.0000
0.7704,0.0102
0.7810,0.0000
0.7916,0.0102
0.8022,0.0000
0.8128,0.0102
0.8234,0.0000
0.8340,0.0051
0.8446,0.0000
0.8552,0.0051
0.8658,0.0102
0.8764,0.0000
0.8870,0.0102
0.8975,0.0000
0.9081,0.0102
0.9187,0.0000
0.9293,0.0102
0.9399,0.0000
0.9505,0.0102
0.9611,0.0000
0.9717,0.0102
0.9823,0.0000
0.9929,0.0051
1.0035,0.0051
1.0141,0.0051
1.0247,0.0051
1.0353,0.0051
1.0459,0.0102
1.0565,0.0000
1.0671,0.0102
1.0777,0.0000
1.0882,0.0152
1.0989,0.0000
1.1097,0.0102
1.1204,0.0000
1.1311,0.0102
1.1418,0.0000
1.1525,0.0152
1.1631,0.0000
1.1737,0.0102
1.1843,0.0051
1.1949,0.0051
1.2055,0.0051
1.2161,0.0000
1.2267,0.0102
1.2373,0.0000
1.2479,0.0102
1.2585,0.0000
1.2693,0.0102
1.2799,0.0000
1.2905,0.0102
1.3011,0.0000
1.3117,0.0102
1.3224,0.0000
1.3330,0.0102
1.3436,0.0000
1.3542,0.0051
1.3648,0.0051
1.3755,0.0000
1.3861,0.0102
1.3967,0.0000
1.4073,0.0051
1.4180,0.0000
1.4287,0.0102
1.4393,0.0000
1.4500,0.0102
1.4606,0.0000
1.4712,0.0102
1.4819,0.0000
1.4925,0.0102
1.5032,0.0000
1.5138,0.0102
1.5245,0.0051
1.5352,0.0000
1.5458,0.0102
1.5565,0.0000
1.5671,0.0102
1.5778,0.0000
1.5884,0.0051
1.5991,0.0000
1.6098,0.0102
1.6205,0.0000
1.6312,0.0152
1.6418,0.0000
1.6524,0.0051
1.6631,0.0000
1.6737,0.0102
1.6844,0.0000
1.6950,0.0000
1.7056,0.0051
1.7162,0.0000
1.7269,0.0051
1.7375,0.0000
1.7482,0.0102
1.7588,0.0000
1.7695,0.0051
1.7801,0.0000
1.7908,0.0152
1.8014,0.0000
1.8120,0.0152
1.8226,0.0000
1.8333,0.0102
1.8439,0.0051
1.8545,0.0051
1.8651,0.0000
1.8758,0.0000
1.8864,0.0051
1.8970,0.0000
1.9076,0.0102
1.9183,0.0000
1.9289,0.0102
1.9395,0.0000
1.9501,0.0152
1.9608,0.0000
1.9714,0.0102
1.9820,0.0000
1.9926,0.0102
2.0033,0.0000
2.0139,0.0051
2.0245,0.0000
2.0351,0.0051
2.0457,0.0051
2.0564,0.0000
2.0670,0.0102
2.0776,0.0000
2.0882,0.0102
2.0989,0.0000
2.1096,0.0102
2.1202,0.0000
2.1310,0.0102
2.1416,0.0000
2.1522,0.0152
2.1629,0.0000
2.1735,0.0102
2.1841,0.0051
2.1947,0.0051
2.2054,0.0051
2.2160,0.0000
2.2267,0.0051
2.2373,0.0000
2.2479,0.0102
2.2585,0.0000
2.2691,0.0152
2.2797,0.0000
2.2904,0.0152
2.3010,0.0000
2.3116,0.0102
2.3222,0.0000
2.3328,0.0102
2.3435,0.0000
2.3542,0.0000
2.3649,0.0051
2.3755,0.0000
2.3861,0.0051
2.3968,0.0000
2.4074,0.0102
2.4180,0.0000
2.4286,0.0051
2.4394,0.0000
2.4500,0.0102
2.4606,0.0000
2.4712,0.0102
2.4818,0.0000
2.4924,0.0102
2.5031,0.0000
2.5137,0.0051
2.5243,0.0000
2.5349,0.0000
2.5456,0.0051
2.5563,0.0051
2.5669,0.0051
2.5775,0.0000
2.5882,0.0102
2.5989,0.0000
2.6096,0.0102
2.6203,0.0000
2.6310,0.0152
2.6417,0.0000
2.6525,0.0102
2.6632,0.0051
2.6738,0.0102
2.6845,0.0051
2.6951,0.0000
2.7057,0.0051
2.7163,0.0000
2.7270,0.0102
2.7376,0.0000
2.7482,0.0102
2.7590,0.0000
2.7696,0.0152
2.7803,0.0000
2.7910,0.0152
2.8016,0.0000
2.8123,0.0102
2.8229,0.0000
2.8336,0.0102
2.8443,0.0000
2.8549,0.0000
2.8656,0.0102
2.8762,0.0051
2.8869,0.0051
2.8976,0.0000
2.9082,0.0102
2.9189,0.0000
2.9295,0.0102
2.9404,0.0000
2.9511,0.0102
2.9618,0.0000
2.9726,0.0102
2.9832,0.0000
2.9939,0.0102
3.0045,0.0051
3.0152,0.0051
3.0259,0.0102
3.0365,0.0000
3.0472,0.0102
3.0578,0.0000
3.0685,0.0102
3.0792,0.0000
3.0899,0.0102
3.1006,0.0000
3.1114,0.0102
3.1223,0.0000
3.1334,0.0102
3.1442,0.0051
3.1549,0.0051
3.1655,0.0102
3.1762,0.0051
3.1868,0.0102
3.1974,0.0000
3.2081,0.0102
3.2187,0.0000
3.2293,0.0102
3.2400,0.0000
3.2506,0.0152
3.2613,0.0000
3.2719,0.0102
3.2825,0.0000
3.2932,0.0102
3.3039,0.0000
3.3146,0.0051
3.3252,0.0051
3.3359,0.0000
3.3466,0.0102
3.3572,0.0000
3.3679,0.0102
3.3786,0.0000
3.3892,0.0102
3.3999,0.0000
3.4105,0.0102
3.4212,0.0000
3.4318,0.0102
3.4425,0.0000
3.4532,0.0102
3.4638,0.0000
3.4745,0.0051
3.4851,0.0051
3.4958,0.0051
3.5065,0.0051
3.5172,0.0000
3.5278,0.0102
3.5385,0.0000
3.5492,0.0102
3.5599,0.0000
3.5706,0.0102
3.5813,0.0000
3.5920,0.0152
3.6029,0.0000
3.6137,0.0102
3.6245,0.0000
3.6352,0.0051
3.6459,0.0102
3.6565,0.0051
3.6672,0.0102
3.6778,0.0000
3.6884,0.0102
3.6991,0.0000
3.7097,0.0102
3.7204,0.0000
3.7310,0.0152
3.7417,0.0000
3.7523,0.0102
3.7630,0.0000
3.7736,0.0102
3.7842,0.0000
3.7949,0.0051
3.8056,0.0051
3.8162,0.0000
3.8269,0.0102
3.8376,0.0000
3.8482,0.0102
3.8589,0.0000
3.8695,0.0102
3.8802,0.0000
3.8909,0.0152
3.9015,0.0000
3.9122,0.0152
3.9229,0.0000
3.9335,0.0051
3.9442,0.0000
3.9549,0.0102
3.9655,0.0051
3.9762,0.0000
3.9868,0.0102
3.9975,0.0000
4.0082,0.0102
4.0188,0.0000
4.0295,0.0102
4.0402,0.0000
4.0508,0.0051
4.0615,0.0000
4.0721,0.0102
4.0828,0.0000
4.0935,0.0051
4.1043,0.0000
4.1151,0.0051
4.1258,0.0051
4.1365,0.0000
4.1472,0.0051
4.1579,0.0000
4.1687,0.0102
4.1793,0.0000
4.1900,0.0102
4.2007,0.0000
4.2113,0.0102
4.2219,0.0000
4.2326,0.0102
4.2432,0.0000
4.2539,0.0102
4.2645,0.0000
4.2752,0.0051
4.2858,0.0102
4.2964,0.0000
4.3071,0.0152
4.3178,0.0000
4.3285,0.0152
4.3392,0.0000
4.3499,0.0102
4.3605,0.0000
4.3712,0.0102
4.3819,0.0000
4.3926,0.0102
4.4032,0.0000
4.4139,0.0051
4.4245,0.0000
4.4352,0.0051
4.4458,0.0102
4.4565,0.0000
4.4671,0.0102
4.4778,0.0000
4.4884,0.0152
4.4991,0.0000
4.5097,0.0102
4.5205,0.0000
4.5312,0.0152
4.5418,0.0000
4.5525,0.0051
4.5632,0.0051
4.5738,0.0051
4.5845,0.0051
4.5952,0.0000
4.6060,0.0102
4.6168,0.0000
4.6275,0.0102
4.6382,0.0000
4.6489,0.0102
4.6595,0.0000
4.6701,0.0102
4.6808,0.0000
4.6914,0.0152
4.7020,0.0000
4.7127,0.0102
4.7234,0.0000
4.7340,0.0102
4.7448,0.0000
4.7555,0.0051
4.7662,0.0102
4.7769,0.0102
4.7875,0.0102
4.7982,0.0000
4.8089,0.0102
4.8195,0.0000
4.8302,0.0102
4.8408,0.0000
4.8514,0.0102
4.8621,0.0000
4.8727,0.0102
4.8834,0.0000
4.8940,0.0051
4.9047,0.0051
4.9153,0.0051
4.9260,0.0051
4.9366,0.0051
4.9473,0.0051
4.9580,0.0000
4.9687,0.0102
4.9795,0.0000
4.9902,0.0102
5.0010,0.0000
5.0117,0.0102
5.0224,0.0000
5.0331,0.0102
5.0438,0.0000
5.0544,0.0102
5.0651,0.0051
5.0758,0.0000
5.0865,0.0051
5.0972,0.0000
5.1079,0.0102
5.1190,0.0000
5.1297,0.0102
5.1403,0.0000
5.1509,0.0102
5.1615,0.0000
5.1721,0.0102
5.1827,0.0000
5.1933,0.0102
5.2039,0.0000
5.2145,0.0051
5.2251,0.0051
5.2357,0.0051
5.2463,0.0102
5.2569,0.0000
5.2675,0.0152
5.2781,0.0000
5.2887,0.0102
5.2993,0.0000
5.3099,0.0102
5.3205,0.0000
5.3311,0.0102
5.3418,0.0000
5.3525,0.0102
5.3631,0.0000
5.3737,0.0051
5.3843,0.0051
5.3949,0.0051
5.4055,0.0051
5.4161,0.0000
5.4267,0.0102
5.4373,0.0000
5.4479,0.0051
5.4585,0.0000
5.4691,0.0102
5.4797,0.0000
5.4903,0.0102
5.5009,0.0000
5.5115,0.0102
5.5221,0.0000
5.5327,0.0102
5.5433,0.0000
5.5539,0.0051
5.5645,0.0051
5.5750,0.0051
5.5856,0.0102
5.5963,0.0000
5.6070,0.0102
5.6177,0.0000
5.6283,0.0102
5.6389,0.0000
5.6495,0.0051
5.6601,0.0000
5.6707,0.0152
5.6813,0.0000
5.6919,0.0102
5.7025,0.0000
5.7131,0.0102
