с,В
0.0006,0.0152
0.0114,0.0102
0.0222,0.0000
0.0330,0.0102
0.0437,0.0000
0.0545,0.0000
0.0652,0.0051
0.0760,0.0000
0.0867,0.0152
0.0975,0.0000
0.1082,0.0102
0.1191,0.0000
0.1300,0.0152
0.1410,0.0000
0.1518,0.0102
0.1626,0.0000
0.1733,0.0051
0.1840,0.0051
0.1947,0.0051
0.2055,0.0051
0.2163,0.0000
0.2270,0.0102
0.2377,0.0000
0.2484,0.0152
0.2592,0.0000
0.2698,0.0102
0.2805,0.0000
0.2911,0.0102
0.3017,0.0000
0.3123,0.0152
0.3230,0.0000
0.3338,0.0051
0.3444,0.0051
0.3551,0.0000
0.3657,0.0102
0.3763,0.0000
0.3869,0.0102
0.3975,0.0000
0.4081,0.0102
0.4187,0.0000
0.4293,0.0102
0.4398,0.0000
0.4504,0.0152
0.4610,0.0000
0.4716,0.0102
0.4822,0.0000
0.4928,0.0051
0.5034,0.0000
0.5140,0.0051
0.5246,0.0051
0.5352,0.0051
0.5459,0.0051
0.5565,0.0000
0.5671,0.0102
0.5777,0.0000
0.5883,0.0102
0.5989,0.0000
0.6095,0.0152
0.6201,0.0000
0.6307,0.0152
0.6413,0.0000
0.6519,0.0102
0.6625,0.0000
0.6731,0.0102
0.6837,0.0000
0.6943,0.0000
0.7049,0.0051
0.7155,0.0051
0.7261,0.0051
0.7367,0.0000
0.7473,0.0152
0.7579,0.0000
0.7685,0.0102
0.7791,0.0000
0.7897,0.0102
0.8004,0.0000
0.8110,0.0102
0.8218,0.0000
0.8325,0.0102
0.8433,0.0000
0.8540,0.0000
0.8647,0.0051
0.8753,0.0000
0.8860,0.0051
0.8966,0.0000
0.9073,0.0102
0.9179,0.0000
0.9285,0.0102
0.9392,0.0000
0.9498,0.0152
0.9604,0.0000
0.9711,0.0102
0.9817,0.0000
0.9923,0.0102
1.0030,0.0000
1.0137,0.0051
1.0245,0.0051
1.0352,0.0051
1.0459,0.0051
1.0566,0.0000
1.0673,0.0102
1.0780,0.0000
1.0887,0.0102
1.0994,0.0000
1.1100,0.0102
1.1207,0.0000
1.1315,0.0102
1.1421,0.0000
1.1528,0.0102
1.1634,0.0000
1.1740,0.0051
1.1846,0.0000
1.1952,0.0051
1.2058,0.0102
1.2164,0.0000
1.2270,0.0102
1.2377,0.0000
1.2483,0.0102
1.2589,0.0000
1.2695,0.0102
1.2801,0.0000
1.2907,0.0152
1.3013,0.0000
1.3119,0.0102
1.3226,0.0000
1.3333,0.0102
1.3440,0.0000
1.3546,0.0051
1.3652,0.0102
1.3758,0.0051
1.3864,0.0102
1.3970,0.0000
1.4076,0.0102
1.4182,0.0000
1.4288,0.0102
1.4394,0.0000
1.4500,0.0152
1.4606,0.0000
1.4712,0.0102
1.4818,0.0000
1.4924,0.0152
1.5030,0.0000
1.5136,0.0051
1.5241,0.0000
1.5347,0.0051
1.5453,0.0102
1.5559,0.0000
1.5665,0.0051
1.5771,0.0000
1.5877,0.0102
1.5983,0.0000
1.6089,0.0102
1.6195,0.0000
1.6301,0.0051
1.6407,0.0000
1.6513,0.0102
1.6619,0.0000
1.6725,0.0102
1.6831,0.0000
1.6937,0.0102
1.7043,0.0051
1.7149,0.0000
1.7255,0.0102
1.7361,0.0000
1.7467,0.0051
1.7573,0.0000
1.7679,0.0051
1.7785,0.0000
1.7891,0.0051
1.7997,0.0000
1.8103,0.0152
1.8211,0.0000
1.8318,0.0102
1.8426,0.0000
1.8533,0.0102
1.8640,0.0000
1.8747,0.0051
1.8853,0.0051
1.8959,0.0000
1.9066,0.0102
1.9172,0.0000
1.9278,0.0051
1.9384,0.0000
1.9491,0.0102
1.9597,0.0000
1.9703,0.0102
1.9809,0.0000
1.9915,0.0102
2.0022,0.0000
2.0128,0.0051
2.0235,0.0000
2.0341,0.0051
2.0448,0.0000
2.0554,0.0000
2.0660,0.0051
2.0766,0.0000
2.0873,0.0102
2.0979,0.0000
2.1085,0.0102
2.1192,0.0000
2.1298,0.0102
2.1404,0.0000
2.1510,0.0152
2.1617,0.0000
2.1724,0.0102
2.1832,0.0000
2.1939,0.0102
2.2045,0.0000
2.2151,0.0000
2.2257,0.0051
2.2363,0.0051
2.2470,0.0102
2.2576,0.0000
2.2682,0.0102
2.2788,0.0000
2.2895,0.0102
2.3001,0.0000
2.3107,0.0102
2.3215,0.0000
2.3322,0.0152
2.3429,0.0000
2.3536,0.0051
2.3642,0.0000
2.3748,0.0051
2.3855,0.0051
2.3961,0.0051
2.4067,0.0102
2.4173,0.0000
2.4279,0.0152
2.4386,0.0000
2.4493,0.0102
2.4599,0.0000
2.4706,0.0102
2.4812,0.0000
2.4918,0.0152
2.5025,0.0000
2.5131,0.0102
2.5237,0.0000
2.5343,0.0102
2.5451,0.0051
2.5557,0.0000
2.5663,0.0102
2.5769,0.0000
2.5875,0.0102
2.5982,0.0000
2.6088,0.0152
2.6194,0.0000
2.6300,0.0102
2.6406,0.0000
2.6512,0.0102
2.6619,0.0000
2.6725,0.0102
2.6831,0.0000
2.6937,0.0102
2.7043,0.0000
2.7150,0.0051
2.7256,0.0051
2.7362,0.0051
2.7468,0.0051
2.7575,0.0000
2.7681,0.0051
2.7787,0.0000
2.7893,0.0102
2.8000,0.0000
2.8106,0.0102
2.8213,0.0000
2.8321,0.0152
2.8429,0.0000
2.8536,0.0102
2.8643,0.0051
2.8749,0.0000
2.8856,0.0051
2.8962,0.0051
2.9068,0.0102
2.9174,0.0000
2.9280,0.0102
2.9386,0.0000
2.9493,0.0102
2.9599,0.0000
2.9705,0.0102
2.9812,0.0000
2.9918,0.0102
3.0024,0.0000
3.0131,0.0102
3.0237,0.0000
3.0344,0.0051
3.0451,0.0051
3.0558,0.0000
3.0665,0.0102
3.0771,0.0000
3.0877,0.0102
3.0984,0.0000
3.1090,0.0102
3.1196,0.0000
3.1302,0.0152
3.1408,0.0000
3.1515,0.0102
3.1622,0.0000
3.1728,0.0102
3.1835,0.0000
3.1941,0.0102
3.2047,0.0051
3.2153,0.0000
3.2260,0.0102
3.2366,0.0000
3.2472,0.0102
3.2578,0.0000
3.2685,0.0102
3.2791,0.0000
3.2898,0.0102
3.3004,0.0000
3.3110,0.0152
3.3218,0.0000
3.3325,0.0102
3.3432,0.0000
3.3540,0.0102
3.3646,0.0051
3.3752,0.0051
3.3859,0.0102
3.3965,0.0000
3.4071,0.0102
3.4177,0.0000
3.4283,0.0102
3.4389,0.0000
3.4496,0.0152
3.4602,0.0000
3.4709,0.0152
3.4815,0.0000
3.4921,0.0102
3.5028,0.0000
3.5134,0.0102
3.5240,0.0000
3.5346,0.0051
3.5453,0.0051
3.5559,0.0000
3.5665,0.0102
3.5772,0.0000
3.5878,0.0152
3.5985,0.0000
3.6091,0.0102
3.6197,0.0000
3.6303,0.0102
3.6410,0.0000
3.6516,0.0152
3.6623,0.0000
3.6729,0.0102
3.6836,0.0051
3.6942,0.0102
3.7048,0.0000
3.7154,0.0000
3.7261,0.0051
3.7367,0.0051
3.7473,0.0102
3.7580,0.0000
3.7686,0.0102
3.7792,0.0000
3.7899,0.0051
3.8005,0.0000
3.8111,0.0102
3.8219,0.0000
3.8326,0.0102
3.8435,0.0000
3.8541,0.0102
3.8648,0.0051
3.8754,0.0000
3.8860,0.0051
3.8967,0.0000
3.9073,0.0102
3.9179,0.0000
3.9286,0.0102
3.9392,0.0000
3.9498,0.0102
3.9605,0.0000
3.9711,0.0152
3.9817,0.0000
3.9925,0.0102
4.0031,0.0000
4.0138,0.0051
4.0245,0.0051
4.0351,0.0051
4.0458,0.0102
4.0565,0.0000
4.0671,0.0102
4.0778,0.0000
4.0884,0.0152
4.0991,0.0000
4.1098,0.0051
4.1204,0.0000
4.1311,0.0102
4.1417,0.0000
4.1524,0.0102
4.1631,0.0000
4.1737,0.0102
4.1844,0.0051
4.1951,0.0051
4.2057,0.0102
4.2164,0.0000
4.2271,0.0051
4.2378,0.0000
4.2486,0.0152
4.2593,0.0000
4.2699,0.0102
4.2806,0.0000
4.2913,0.0102
4.3021,0.0000
4.3128,0.0102
4.3235,0.0000
4.3342,0.0102
4.3450,0.0000
4.3557,0.0000
4.3664,0.0102
4.3770,0.0000
4.3877,0.0102
4.3983,0.0000
4.4089,0.0152
4.4196,0.0000
4.4302,0.0102
4.4408,0.0000
4.4515,0.0102
4.4621,0.0000
4.4727,0.0102
4.4834,0.0000
4.4940,0.0102
4.5048,0.0000
4.5154,0.0000
4.5261,0.0051
4.5367,0.0000
4.5474,0.0102
4.5581,0.0000
4.5687,0.0102
4.5794,0.0000
4.5900,0.0102
4.6007,0.0000
4.6114,0.0102
4.6220,0.0000
4.6328,0.0102
4.6434,0.0000
4.6541,0.0051
4.6648,0.0051
4.6754,0.0051
4.6861,0.0051
4.6967,0.0000
4.7074,0.0102
4.7181,0.0000
4.7287,0.0152
4.7394,0.0000
4.7501,0.0102
4.7607,0.0000
4.7714,0.0102
4.7821,0.0000
4.7928,0.0102
4.8034,0.0000
4.8141,0.0102
4.8249,0.0051
4.8356,0.0000
4.8465,0.0051
4.8572,0.0000
4.8679,0.0152
4.8786,0.0000
4.8892,0.0102
4.9000,0.0000
4.9106,0.0102
4.9214,0.0000
4.9321,0.0051
4.9427,0.0000
4.9533,0.0102
4.9639,0.0000
4.9746,0.0051
4.9852,0.0051
4.9958,0.0051
5.0064,0.0102
5.0171,0.0000
5.0278,0.0102
5.0385,0.0000
5.0492,0.0102
5.0598,0.0000
5.0705,0.0102
5.0812,0.0000
5.0919,0.0102
5.1025,0.0000
5.1132,0.0102
5.1239,0.0000
5.1345,0.0051
5.1452,0.0051
5.1558,0.0000
5.1665,0.0102
5.1771,0.0000
5.1878,0.0102
5.1985,0.0000
5.2092,0.0102
5.2198,0.0000
5.2304,0.0152
5.2412,0.0000
5.2519,0.0102
5.2626,0.0000
5.2733,0.0102
5.2839,0.0000
5.2946,0.0102
5.3052,0.0000
5.3159,0.0000
5.3272,0.0051
5.3379,0.0000
5.3486,0.0102
5.3596,0.0000
5.3702,0.0102
5.3809,0.0000
5.3915,0.0152
5.4022,0.0000
5.4128,0.0152
5.4234,0.0000
5.4342,0.0102
5.4449,0.0051
5.4555,0.0051
5.4662,0.0051
5.4769,0.0000
5.4875,0.0051
5.4982,0.0000
5.5089,0.0152
5.5195,0.0000
5.5301,0.0152
5.5408,0.0000
5.5514,0.0102
5.5621,0.0000
5.5728,0.0102
5.5835,0.0000
5.5941,0.0102
5.6048,0.0051
5.6155,0.0051
5.6261,0.0102
5.6368,0.0000
5.6475,0.0051
5.6582,0.0000
5.6688,0.0102
5.6795,0.0000
